id,fio,fraction,rating,n_okr,okrug
1,Медведев Дмитрий Анатольевич,ЕДИНАЯ РОССИЯ,1,,
2,Яровая Ирина Анатольевна,ЕДИНАЯ РОССИЯ,7,,
3,Березуцкий Юрий Николаевич,ЕДИНАЯ РОССИЯ,10,,
4,Пинский Виктор Витальевич,ЕДИНАЯ РОССИЯ,5,,
5,Борисов Егор Афанасьевич,ЕДИНАЯ РОССИЯ,2,,
6,Кобзон Иосиф Давыдович,ЕДИНАЯ РОССИЯ,4,,
7,Николаев Николай Петрович,ЕДИНАЯ РОССИЯ,4,,
8,Чилингаров Артур Николаевич,ЕДИНАЯ РОССИЯ,7,,
9,Шойгу Лариса Кужугетовна,ЕДИНАЯ РОССИЯ,3,,
10,Тулеев Аман-гельды Молдагазыевич,ЕДИНАЯ РОССИЯ,7,,
11,Евтушенко Ирина Дмитриевна,ЕДИНАЯ РОССИЯ,10,,
12,Белеков Иван Итулович,ЕДИНАЯ РОССИЯ,7,,
13,Мельник Владимир Иванович,ЕДИНАЯ РОССИЯ,6,,
14,Герасименко Николай Федорович,ЕДИНАЯ РОССИЯ,9,,
15,Косяненко Евгений Викторович,ЕДИНАЯ РОССИЯ,4,,
16,Елыкомов Валерий Анатольевич,ЕДИНАЯ РОССИЯ,3,,
17,Фокин Александр Иванович,ЕДИНАЯ РОССИЯ,6,,
18,Чойнзонов Евгений Лхамацыренович,ЕДИНАЯ РОССИЯ,7,,
19,Жуков Александр Дмитриевич,ЕДИНАЯ РОССИЯ,7,,
20,Перминов Дмитрий Сергеевич,ЕДИНАЯ РОССИЯ,3,,
21,Якушев Владимир Владимирович,ЕДИНАЯ РОССИЯ,7,,
22,Карпов Анатолий Евгеньевич,ЕДИНАЯ РОССИЯ,3,,
23,Гоголева Татьяна Степановна,ЕДИНАЯ РОССИЯ,10,,
24,Брыкин Николай Гаврилович,ЕДИНАЯ РОССИЯ,9,,
25,Крашенинников Павел Владимирович,ЕДИНАЯ РОССИЯ,8,,
26,Ветлужских Андрей Леонидович,ЕДИНАЯ РОССИЯ,4,,
27,Петров Александр Петрович,ЕДИНАЯ РОССИЯ,1,,
28,Ямпольская Елена Александровна,ЕДИНАЯ РОССИЯ,7,,
29,Шишкоедов Василий Михайлович,ЕДИНАЯ РОССИЯ,2,,
30,Вяткин Дмитрий Федорович,ЕДИНАЯ РОССИЯ,9,,
31,Хамитов Рустэм Закиевич,ЕДИНАЯ РОССИЯ,9,,
32,Юмашева Инга Альбертовна,ЕДИНАЯ РОССИЯ,9,,
33,Марданшин Рафаэль Мирхатимович,ЕДИНАЯ РОССИЯ,3,,
34,Баталова Рима Акбердиновна,ЕДИНАЯ РОССИЯ,1,,
35,Ишсарин Рамзил Рафаилович,ЕДИНАЯ РОССИЯ,9,,
36,Ганиев Фарит Глюсович,ЕДИНАЯ РОССИЯ,6,,
37,Сапко Игорь Вячеславович,ЕДИНАЯ РОССИЯ,5,,
38,Исаев Андрей Константинович,ЕДИНАЯ РОССИЯ,3,,
39,Василенко Александр Борисович,ЕДИНАЯ РОССИЯ,2,,
40,Минниханов Рустам Нургалиевич,ЕДИНАЯ РОССИЯ,4,,
41,Ахметов Марат Готович,ЕДИНАЯ РОССИЯ,6,,
42,Сидякин Александр Геннадьевич,ЕДИНАЯ РОССИЯ,6,,
43,Фаррахов Айрат Закиевич,ЕДИНАЯ РОССИЯ,0,,
44,Чайка Валентин Васильевич,ЕДИНАЯ РОССИЯ,10,,
45,Богуславский Ирек Борисович,ЕДИНАЯ РОССИЯ,0,,
46,Гадыльшин Мурад Асфандиарович,ЕДИНАЯ РОССИЯ,3,,
47,Бариев Марат Мансурович,ЕДИНАЯ РОССИЯ,8,,
48,Хуснулин Равиль Камильевич,ЕДИНАЯ РОССИЯ,2,,
49,Шаманов Владимир Анатольевич,ЕДИНАЯ РОССИЯ,0,,
50,Балыхин Григорий Артёмович,ЕДИНАЯ РОССИЯ,3,,
51,Симановский Леонид Яковлевич,ЕДИНАЯ РОССИЯ,5,,
52,Гутенев Владимир Владимирович,ЕДИНАЯ РОССИЯ,3,,
53,Беспалова Марина Павловна,ЕДИНАЯ РОССИЯ,10,,
54,Романенко Роман Юрьевич,ЕДИНАЯ РОССИЯ,8,,
55,Володин Вячеслав Викторович,ЕДИНАЯ РОССИЯ,2,,
